dispute_id,submit_date,amount_aud,channel,tat_intake_h,tat_docs_h,tat_review_h,tat_decision_h,follow_up_calls,outcome,csat_score
DSP-10001,2026-05-03,129.50,app,3,24,68,6,1,upheld,3
DSP-10002,2026-05-04,45.00,phone,5,18,54,4,0,partial,4
DSP-10003,2026-05-05,890.00,app,2,36,96,12,3,declined,2
DSP-10004,2026-05-06,210.25,branch,4,22,70,8,1,upheld,4
DSP-10005,2026-05-07,67.80,app,6,40,80,5,2,upheld,3
DSP-10006,2026-05-08,1500.00,phone,3,48,120,10,3,partial,2
DSP-10007,2026-05-09,32.10,app,2,12,40,3,0,upheld,5
DSP-10008,2026-05-10,275.00,app,4,30,72,7,2,declined,3
DSP-10009,2026-05-11,99.99,phone,5,26,65,6,1,upheld,4
DSP-10010,2026-05-12,420.00,app,3,20,88,9,1,upheld,3
DSP-10011,2026-05-13,55.40,app,4,16,50,4,1,upheld,4
DSP-10012,2026-05-14,1100.00,phone,7,52,110,14,3,declined,2
DSP-10013,2026-05-15,18.75,app,2,10,36,3,0,upheld,5
DSP-10014,2026-05-16,640.00,app,5,34,95,11,2,partial,3
DSP-10015,2026-05-17,210.00,branch,4,28,74,8,1,upheld,4
DSP-10016,2026-05-18,75.20,app,3,22,60,5,1,upheld,3
DSP-10017,2026-05-19,310.00,phone,6,44,100,9,4,declined,2
DSP-10018,2026-05-20,125.00,app,2,18,55,4,1,upheld,4
DSP-10019,2026-05-21,49.90,app,3,14,48,3,0,upheld,5
DSP-10020,2026-05-22,980.00,phone,5,50,130,15,2,partial,2
DSP-10021,2026-05-23,160.00,app,4,25,70,7,2,upheld,3
DSP-10022,2026-05-24,88.00,app,3,20,62,5,0,upheld,4
DSP-10023,2026-05-25,530.00,branch,6,38,90,10,2,declined,3
DSP-10024,2026-05-26,27.50,app,2,11,42,3,0,upheld,5
DSP-10025,2026-05-27,350.00,phone,4,32,78,8,2,upheld,3
